Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
37,Rb,5,1,0.82,265,403,[Kr] 5s1,72,211,2.19,2.5,961,0.216,312.46,1532,2.4,Unknown,Unknown,Rubidium,Rb+,2633,85.4678,Unknown,364,58,3860,Alkali Metal,46.9,0.3,235
38,Sr,5,2,0.95,219,549.5,[Kr] 5s2,137,192,8,Unknown,1655,Unknown,1050,2630,Unknown,6.1,Unknown,Strontium,Sr2+,1064.2,87.62,Unknown,300,35,4138,Alkaline Earth Metal,5.03,1.5,200
39,Y,5,3,1.22,212,600,[Kr] 5s2 4d1,380,162,11.4,41,3618,589,1799,4472,64,26,Unknown,Yttrium,NA,1180,88.9059,Unknown,298,17,1980,Transition Metal,29.6,Unknown,180
40,Zr,5,4,1.33,206,640.1,[Kr] 5s2 4d2,580,148,21,Unknown,4682,650,2128,6511,68,33,903,Zirconium,NA,1270,91.224,Unknown,278,23,2218,Transition Metal,41.1,5,155
41,Nb,5,5,1.6,198,652.1,[Kr] 5s1 4d4,690,137,26.8,170,5017,736,2750,8570,105,38,1320,Niobium,NA,1380,92.9064,Unknown,265,54,2416,Transition Metal,86.1,6,145
42,Mo,5,6,2.16,190,684.3,[Kr] 5s1 4d5,600,145,36,230,4912,1500,2896,10280,329,20,1530,Molybdenum,NA,1560,95.96,Unknown,251,139,2618,Transition Metal,71.9,5.5,145
43,Tc,5,7,1.9,183,702,[Kr] 5s2 4d5,550,156,23,Unknown,4538,Unknown,2430,11500,Unknown,Unknown,Unknown,Technetium,NA,1470,98,Unknown,63,51,2850,Transition Metal,53,Unknown,135
44,Ru,5,8,2.2,178,710.2,[Kr] 5s1 4d7,580,126,25.7,220,4423,2160,2607,12370,447,173,Unknown,Ruthenium,NA,1620,101.07,Unknown,238,120,2747,Transition Metal,101.3,6.5,130
45,Rh,5,9,2.28,173,719.7,[Kr] 5s1 4d8,495,135,21.7,380,3968,1100,2237,12450,275,150,1246,Rhodium,NA,1740,102.9055,Unknown,240,150,2997,Transition Metal,109.7,6,135
46,Pd,5,10,2.2,169,804.4,[Kr] 4d10,380,131,16.7,180,3236,37.3,1828.05,12023,121,44,461,Palladium,NA,1870,106.42,163,240,72,3177,Transition Metal,53.7,4.75,140
47,Ag,5,11,1.93,165,731,[Kr] 5s1 4d10,255,153,11.3,100,2435,24.5,1234.93,10490,83,30,251,Silver,Ag+,2070,107.8682,172,235,430,3361,Transition Metal,125.6,2.5,160
